nombre_entidad,municipio_entidad,codigo_municipio_ent,codigo_departamento_ent,orden_entidad,departamento_entidad,latitud,longitud,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion
MINISTERIO DE VIVIENDA. CIUDAD Y TERRITORIO - MINIMA CUANTIA,Bogotá D.C.,11001,11,Nacional,Bogotá D.C.,4.3168398514615385,-74.20605366615385,48.333333333333336,94.2115768463074,0,0,33.33333333333333,46.40899620095002,0,46.40899430951041,14.333333333333334,81.85654008438819,0,100,100,NA,0,0,37.98420387208158
DEPARTAMENTO DE POLICIA CAQUETA - POLICIA NACIONAL DE COLOMBIA - DEPARTAMENTO DE POLICÍA CAQUETA,Florencia,18001,18,Nacional,Caquetá,1.6759983439090909,-75.54067328181819,42.5,94.91017964071857,0,0,50,50.79969198812149,0,50.799688780800025,9.5,87.9746835443038,0,100,100,NA,0,0,40.30704626442866
BOYACÁ  I.E. SAN MARCOS  MUZO,Muzo,15480,15,TDD,Boyacá,5.532462867,-74.10275078,NA,NA,100,100,100,100,NA,NA,NA,NA,0,NA,NA,0,0,0,50
TOLIMA  ALC. ANZOATEGUI,Anzoátegui,73043,73,TDM6,Tolima,4.62324568775,-75.1000237675,NA,NA,85.71428571428571,83.0606867940786,14.285714285714285,17.201193355935256,0,17.201192479338424,NA,NA,0,57.14285714285714,76.99453557871412,14.285714285714285,0,0,31.698635196118126
GOBERNACIÓN VALLE DEL CAUCA - SECRETARIA DE SALUD - SECRETARIA DEPTAL. DE SALUD DEL VALLE,Cali,76001,76,Territorial,Valle del Cauca,3.406996142924528,-76.56139954018867,1.6666666666666667,99.8003992015968,83.33333333333334,39.85553648702071,16.666666666666664,40.66459167961285,0,40.66459163500415,1,98.73417721518987,0,66.66666666666666,94.78240764578554,NA,0,0,45.041981574656035
VALLE DEL CAUCA  GOBERNACIÓN,Cali,76001,76,TDC,Valle del Cauca,3.406996142924528,-76.56139954018867,NA,NA,95.83333333333334,99.92109550722225,5.902777777777776,36.617052955209644,1.8115942028985508,36.61705295355785,NA,NA,20.833333333333336,33.33333333333333,89.25456403428485,12.5,3.4722222222222223,1.7236208923149507,36.47299341744821
CUNDINAMARCA  ALC. SAN JUAN DE RÍOSECO,San Juan de Río Seco,25662,25,TDM6,Cundinamarca,4.842535727333333,-74.67722301666667,NA,NA,75,38.68595697449456,25,43.38032407613551,0,43.38032189404104,NA,NA,0,100,100,0,0,0,34.73329827733001
EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL ESPINAL ESP,Espinal,73268,73,TDD,Tolima,4.183551483666666,-74.94836239666667,NA,NA,100,100,50,51.29001156164402,0,51.29000511681803,NA,NA,0,100,100,0,0,0,45.57181923287673
ANTIOQUIA  INST. DE DEPORTES Y RECREACIÓN DE MEDELLÍN  INDER MEDELLÍN,Medellín,5001,5,TDM2,Antioquia,6.2316158553448275,-75.56855862724139,NA,NA,100,100,28,47.21281804035677,10,47.2128180039668,NA,NA,19.999999999999996,100,100,20,11.30591265011466,5.61228688812255,49.284637961690365
CUNDINAMARCA  ESE HOSP. SAN RAFAEL DE PACHO,Pacho,25513,25,TDM2,Cundinamarca,5.195818388,-74.18829203,NA,NA,100,100,3.7649219467401283,11.81368294366266,0.7575757575757576,11.813682862404772,NA,NA,12.121212121212121,24.242424242424242,59.24466724317672,6.0606060606060606,0.9661828339652104,0.4796158805045292,29.04098991180613
