nombre_grupo,nombre_familia,indicador,valor
Componentes y Suministros,Adhesivos y selladores,ind_prom_oferentes,97.523670793882
Componentes y Suministros,Adhesivos y selladores,perc_contr_cerrada_num,0
Componentes y Suministros,Adhesivos y selladores,perc_contr_cerrada_val,0
Componentes y Suministros,Adhesivos y selladores,HHI_cant,15.277777777777777
Componentes y Suministros,Adhesivos y selladores,HHI_val,58.289864052906715
Componentes y Suministros,Adhesivos y selladores,ID_cant,7.575757575757576
Componentes y Suministros,Adhesivos y selladores,ID_val,58.2898638957291
Componentes y Suministros,Adhesivos y selladores,ind_prom_ofertas,50
Componentes y Suministros,Adhesivos y selladores,ganadoras,33.33333333333334
Componentes y Suministros,Adhesivos y selladores,IC4K_cant,100
Componentes y Suministros,Adhesivos y selladores,IC4K_val,94.36460211222271
Componentes y Suministros,Adhesivos y selladores,perc_tiempo_adiciones,0
Componentes y Suministros,Adhesivos y selladores,ind_valor_adiciones,0
Componentes y Suministros,Adhesivos y selladores,ind_riesgo_corrupcion,35.105000434298475
Componentes y Suministros,Adhesivos y selladores,oferentes_prom,34
Componentes y Suministros,Adhesivos y selladores,ofertas_prom,17
Componentes y Suministros,Adhesivos y selladores,perc_valor_adiciones,0
Componentes y Suministros,Bombas y compresores industriales,ind_prom_oferentes,98.54333576110706
Componentes y Suministros,Bombas y compresores industriales,perc_contr_cerrada_num,0
Componentes y Suministros,Bombas y compresores industriales,perc_contr_cerrada_val,0
Componentes y Suministros,Bombas y compresores industriales,HHI_cant,5
Componentes y Suministros,Bombas y compresores industriales,HHI_val,18.867327484636608
Componentes y Suministros,Bombas y compresores industriales,ID_cant,0
Componentes y Suministros,Bombas y compresores industriales,ID_val,18.867327408651
Componentes y Suministros,Bombas y compresores industriales,ind_prom_ofertas,94.11764705882352
Componentes y Suministros,Bombas y compresores industriales,ganadoras,0
Componentes y Suministros,Bombas y compresores industriales,IC4K_cant,100
Componentes y Suministros,Bombas y compresores industriales,IC4K_val,77.48186554318318
Componentes y Suministros,Bombas y compresores industriales,perc_tiempo_adiciones,0
Componentes y Suministros,Bombas y compresores industriales,ind_valor_adiciones,2.088755217766431
Componentes y Suministros,Bombas y compresores industriales,ind_riesgo_corrupcion,30.549485282646156
Componentes y Suministros,Bombas y compresores industriales,oferentes_prom,20
Componentes y Suministros,Bombas y compresores industriales,ofertas_prom,2
Componentes y Suministros,Bombas y compresores industriales,perc_valor_adiciones,1.0443776088832155
Componentes y Suministros,"Calefacción, ventilación y circulación del aire",ind_prom_oferentes,98.9075018208303
Componentes y Suministros,"Calefacción, ventilación y circulación del aire",perc_contr_cerrada_num,0
Componentes y Suministros,"Calefacción, ventilación y circulación del aire",perc_contr_cerrada_val,0
Componentes y Suministros,"Calefacción, ventilación y circulación del aire",HHI_cant,3.686087990487515
Componentes y Suministros,"Calefacción, ventilación y circulación del aire",HHI_val,16.611715612289643
