Id_Entidad,Nit,Entidad,Ciudad,Departamento,Direccion,Telefono,E-Mail,Pagina Web,Nombre Alcalde,Categoria municipio - vigencia 2020
210205002,890981195:5,Abejorral,ABEJORRAL,DEPARTAMENTO DE ANTIOQUIA,CARRERA 50 NO. 50-06,"094-8647182,8647611,8648302",hacienda@abejorral-antioquia.gov.co,http://www.abejorral-antioquia.gov.co,JULIAN ANDRES MUÑOZ LOPEZ,6
210354003,890504612:0,Ábrego,ABREGO,DEPARTAMENTO DE NORTE DE SANTANDER,CALLE 14 CARRERA 5 ESQUINA,"097-642300,642178,642178",alcaldia@abrego-nortedesantander.gov.co,http://www.abrego-nortedesantander.gov.co,Juan Carlos Jacome Ropero,6
210405004,890981251:1,Abriaquí,ABRIAQUI,DEPARTAMENTO DE ANTIOQUIA,CARRERA 11 11-'07,094-8520024,alcaldia@abriaqui-antioquia.gov.co,http://www.abriaqui-antioquia.gov.co,HECTOR WILLIAM URREGO QUIROS,6
210650006,892001457:3,Acacías,ACACIAS,DEPARTAMENTO DEL META,CARRERA 14 N. 13-30,"098-6469049,6569997",alcaldia@acacias.gov.co,http://www.acacias.gov.co,EDUARDO CORTES TRUJILLO,3
210627006,891680050:8,Acandí,ACANDI,DEPARTAMENTO DE CHOCO,CALLE CONSISTORIAL-MUNICIPIO DE ACANDI CHOCO,"094-5628026,5628173,3664244",contactenos@acandi-choco.gov.co,http://www.acandi-choco.gov.co,ALEXANDER MURILLO ROBLEDO,6
210641006,891180069:1,Acevedo,ACEVEDO,DEPARTAMENTO DE HUILA,CARRERA 4 CALLE 9 ESQUINA,"098-8317006,8317019",hacienda@acevedo-huila.gov.co,http://www.acevedo-huila.gov.co,GENTIL TAPIERO BUITRAGO,6
210613006,800037371:1,Achí,ACHI,DEPARTAMENTO DE BOLIVAR,CALLE 8 N° 4 16,095-6820302,alcaldia@achi-bolivar.gov.com,http://www.achi-bolivar.gov.co,JUAN CARLOS BECERRA GUZMAN,6
210125001,890680149:4,Agua de Dios,AGUA DE DIOS,DEPARTAMENTO DE CUNDINAMARCA,CALLE 13 8 -36,091-8345110,contador@aguadedios-cundinamarca.gov.co,http://www.aguadedios-cundinamarca.gov.co/,LUIS FELIPE TAPIAS CARDENAS,6
211120011,800096561:4,Aguachica,AGUACHICA,DEPARTAMENTO DE CESAR,Calle  4  10 - 33  Parque San Roque,095-5650100,contabilidad@aguachica-cesar.gov.co,http://www.aguachica-cesar.gov.co/,ROBINSON ANTONIO MANOSALVA SALDAÑA,4
211368013,890210928:1,Aguada - Santander,AGUADA,DEPARTAMENTO DE SANTANDER,CALLE 2 NO. 2 -14,"097-7565517,7565518,265517",contactenos@aguada-santander.gov.co,http://aguada-santander.gov.co,OSCAR MAURICIO SANCHEZ SANTAMARIA,6
211317013,890801132:0,Aguadas - Caldas,AGUADAS,DEPARTAMENTO DE CALDAS,CALLE 6 NRO.5-23,"096-8514478,8515110,8514145",alcaldia@aguadas-caldas.gov.co,http://www.aguadas-caldas.gov.co,DIEGO FERNANDO GONZALEZ,6
